@data
2.383231247672458197e-01,3.336446426149576316e-01,3.677497638737468044e-01
9.270993250827772592e-01,9.023731511201223965e-01,4.084597218051184697e-01
4.943839978533643986e-01,1.794464100805134299e-01,3.535868158926852578e-01
6.509984522689605813e-01,7.193955569905710057e-01,7.357738502198118979e-01
8.403494212453214152e-01,4.954640880950644810e-02,6.360765016735038246e-01
1.695038505714876464e-01,2.993617088865330178e-01,1.867676270307969677e-01
6.152967415530555817e-01,4.755473823205416117e-01,2.588696229712816876e-02
4.741715392965439868e-01,2.325563475009959635e-01,1.804448547465002939e-01
1.630710858699377930e-01,7.812028957976600019e-01,2.281724560561591009e-01
5.557525044133565517e-01,4.221343770532137718e-02,9.817795759638149322e-01
